g_avg,koreksi_drift
1903.565436,0
1899.427731,0.136089716
1902.593722,0.248548369
1902.214324,0.374544954
1902.156895,0.552186735
1888.967612,0.639285225
1881.249516,0.722617222
1901.350492,0.897859706
1900.491729,1.000949039
1901.453944,1.08629162
1898.594162,1.207167918
1898.606167,1.314037149
1900.888671,1.401631583
1905.154132,1.5886963
